banner_series,banner_model,banner_mode,banner_range_max_mm,sick_type_code,sick_order_number,sick_family,adequate,confidence,rationale,source
,,fiber_optic,,,,,False,,no SICK equivalent in comparable mode (gap),deterministic
BEAM-ARRAY,,opposed,,GSE6-P4112,1052450,G6,True,low,"G6 opposed reaches 15 m, likely covers Banner range; PNP chosen, but SICK offers only switching output vs Banner's analog measuring array.",judge
BEAM-ARRAY,BMLV,retroreflective,,GL6-P4112,1051777,G6,True,low,"GL6 retroreflective (lente doble), 6 m range, PNP output; Banner range unspecified so adequacy assumed. G6 is a single-beam sensor, not a true light screen.",judge
DURA-BEND,,fiber_optic,,,,,False,,no SICK equivalent in comparable mode (gap),deterministic
ECONO-BEAM,,convergent,,GTE6-P4212,1051781,G6,True,low,"Only energetic GTE6 offered; convergent ideally maps to background suppression, so principle mismatch; 300 mm reach, no Banner range to verify.",judge
ECONO-BEAM,,diffuse,80,WTB8-N1111,6033210,W8,True,low,deterministic range match,deterministic
ECONO-BEAM,,diffuse (long range),200,GTB6-P4212,1052442,G6,True,medium,GTB6 reaches 250 mm covering 200 mm; background suppression differs from plain long-range diffuse but ensures reliable detection.,judge
ECONO-BEAM,,diffuse (short range),80,WTB8-P1111,6033211,W8,True,high,WTB8 background-suppression diffuse reaches 100 mm covering 80 mm (ratio 1.25); PNP compatible with Banner bipolar output.,judge
ECONO-BEAM,,fiber_optic,,,,,False,,no SICK equivalent in comparable mode (gap),deterministic
ECONO-BEAM,,opposed,1800,WSE4-3P2230,1028160,W4-3,True,high,"W4-3 through-beam reaches 4000 mm (ratio 2.2), comfortably covers 1800 mm; PNP compatible with Banner bipolar NPN+PNP output.",judge
ECONO-BEAM,,retroreflective,4500,WL4-3P2230,1028147,W4-3,True,high,"WL4-3 double-lens retro matches 4500 mm exactly (ratio 1.0), PNP compatible; non-polarized fit, polarization not required.",judge
EZ-BEAM,,fixed_field,2000,WTE280-2P2431,6044728,W280-2,True,high,"WTE280-2 is background-suppression diffuse matching Banner fixed-field; range 2000 mm exactly covers Banner's, PNP output standard.",judge
EZ-BEAM,EZ-BEAM S2,fixed_field,,GTE6-P4212,1051781,G6,True,low,"Only energetic (energetica) GTE6 offered, not true background suppression; 300 mm. Acceptable stand-in but sub-mode fit imperfect.",judge
EZ-BEAM,EZ-BEAM S2,opposed,,GSE6-P4112,1052450,G6,True,medium,"G6 through-beam GSE6 reaches 15 m, ample for a compact sensor; PNP fits Banner solid-state outputs. Banner range unknown.",judge
EZ-BEAM,EZ-BEAM S2,retroreflective,,GL6-P4112,1051777,G6,True,medium,"GL6 retroreflective, 6 m, double-lens design supports polarization for shiny targets; PNP compatible. Banner range not specified.",judge
L-GAGE,,fixed_field,,GTE6-P4212,1051781,G6,False,low,"GTE6 is diffuse energetica switching sensor, not laser background-suppression; no analog 4-20mA output; only 300mm range vs L-GAGE measurement scope.",judge
M12,,opposed,50000,WSE280-2P2431,6044745,W280-2,True,high,"W280-2 through-beam reaches 60 m, covering Banner's 50 m (ratio 1.2); PNP variant matches common Banner output.",judge
MAXI-BEAM,,convergent,,GTE6-P4212,1051781,G6,True,low,"Only short-range diffuse offered; energetic not ideal for convergent focus, and Banner range unknown; PNP fits.",judge
MAXI-BEAM,,diffuse,1500,GTE10-P4211,1064697,G10,True,medium,Energetic diffuse fits plain long-range; 1.3 m slightly short of 1.5 m (ratio 0.87) but acceptable; PNP.,judge
MAXI-BEAM,,diffuse,760,WTE8-P1131V,6041473,W8,True,high,Energetic diffuse 950 mm covers Banner 760 mm (ratio 1.25); PNP output compatible.,judge
MAXI-BEAM,,fiber_optic,,,,,False,,no SICK equivalent in comparable mode (gap),deterministic
MAXI-BEAM,,fixed_field,100,WTB8-P1111,6033211,W8,True,high,Background-suppression 100 mm exactly matches Banner fixed-field (ratio 1.0); PNP output compatible.,judge
MAXI-BEAM,,opposed,90000,WSE280-2P2431,6044745,W280-2,False,medium,Closest through-beam but 60 m reach vs Banner 90 m (ratio 0.67); PNP fits. No 90 m SICK candidate exists.,judge
MAXI-BEAM,,opposed,4500,WSE4S-3F2130V,1045099,W4S-3,True,high,5 m reach covers Banner 4.5 m (ratio 1.11); PNP output compatible with MAXI-BEAM outputs.,judge
MAXI-BEAM,,retroreflective,9000,WL11-2P2430,1041385,W11-2,True,high,"10 m double-lens retro covers Banner 9 m (ratio 1.11); non-polarized, PNP output compatible.",judge
MAXI-BEAM,,retroreflective,4500,WL4-3P2230,1028147,W4-3,True,high,4.5 m polarized double-lens exactly matches Banner (ratio 1.0); PNP output compatible.,judge
MINI-ARRAY,,opposed,,GSE6-P4112,1052450,G6,False,low,"GSE6 is single-beam through-beam (15 m); Banner MINI-ARRAY is a multi-beam measuring light curtain, not equivalent function.",judge
MINI-BEAM,,convergent,,GTE6-P4212,1051781,G6,True,low,"G6 compact diffuse (300 mm) is closest fit, but only energetic (not background-suppression) and Banner range unspecified, so fit is uncertain.",judge
